Time Stamp, Pressure [Pa], System State, Alarm State
Thursday 07-05-2020 02:00:44 CEST +0200,9145216,13,0
Thursday 07-05-2020 02:00:45 CEST +0200,9146144,13,0
Thursday 07-05-2020 02:00:45 CEST +0200,9147573,13,0
Thursday 07-05-2020 02:00:45 CEST +0200,9148055,13,0
Thursday 07-05-2020 02:00:45 CEST +0200,9148694,13,0
Thursday 07-05-2020 02:00:46 CEST +0200,9150200,13,0
Thursday 07-05-2020 02:00:46 CEST +0200,9152391,13,0
Thursday 07-05-2020 02:00:46 CEST +0200,9153132,13,0
Thursday 07-05-2020 02:00:46 CEST +0200,9155232,13,0
Thursday 07-05-2020 02:00:47 CEST +0200,9157784,13,0
Thursday 07-05-2020 02:00:47 CEST +0200,9159445,13,0
Thursday 07-05-2020 02:00:47 CEST +0200,9160331,13,0
Thursday 07-05-2020 02:00:47 CEST +0200,9161672,13,0
Thursday 07-05-2020 02:00:48 CEST +0200,9162833,13,0
Thursday 07-05-2020 02:00:48 CEST +0200,9163362,13,0
Thursday 07-05-2020 02:00:48 CEST +0200,9165580,13,0
Thursday 07-05-2020 02:00:48 CEST +0200,9166199,13,0
Thursday 07-05-2020 02:00:49 CEST +0200,9167988,13,0
Thursday 07-05-2020 02:00:49 CEST +0200,9169666,13,0
Thursday 07-05-2020 02:00:49 CEST +0200,9171376,13,0
Thursday 07-05-2020 02:00:49 CEST +0200,9173249,13,0
Thursday 07-05-2020 02:00:50 CEST +0200,9174540,13,0
Thursday 07-05-2020 02:00:50 CEST +0200,9176768,13,0
Thursday 07-05-2020 02:00:50 CEST +0200,9178374,13,0
Thursday 07-05-2020 02:00:50 CEST +0200,9179683,13,0
Thursday 07-05-2020 02:00:51 CEST +0200,9180160,13,0
Thursday 07-05-2020 02:00:51 CEST +0200,9181132,13,0
Thursday 07-05-2020 02:00:51 CEST +0200,9181761,13,0
Thursday 07-05-2020 02:00:51 CEST +0200,9183931,13,0
Thursday 07-05-2020 02:00:52 CEST +0200,9186447,13,0
Thursday 07-05-2020 02:00:52 CEST +0200,9188965,13,0
Thursday 07-05-2020 02:00:52 CEST +0200,9189311,13,0
Thursday 07-05-2020 02:00:52 CEST +0200,9190261,13,0
Thursday 07-05-2020 02:00:53 CEST +0200,9191707,13,0
Thursday 07-05-2020 02:00:53 CEST +0200,9194392,13,0
Thursday 07-05-2020 02:00:53 CEST +0200,9195866,13,0
Thursday 07-05-2020 02:00:53 CEST +0200,9198260,13,0
Thursday 07-05-2020 02:00:54 CEST +0200,9200605,13,0
Thursday 07-05-2020 02:00:54 CEST +0200,9202248,13,0
Thursday 07-05-2020 02:00:54 CEST +0200,9204197,13,0
Thursday 07-05-2020 02:00:54 CEST +0200,9206105,13,0
Thursday 07-05-2020 02:00:55 CEST +0200,9206849,13,0
Thursday 07-05-2020 02:00:55 CEST +0200,9209517,13,0
Thursday 07-05-2020 02:00:55 CEST +0200,9210191,13,0
Thursday 07-05-2020 02:00:55 CEST +0200,9211478,13,0
Thursday 07-05-2020 02:00:56 CEST +0200,9214050,13,0
Thursday 07-05-2020 02:00:56 CEST +0200,9216746,13,0
Thursday 07-05-2020 02:00:56 CEST +0200,9218448,13,0
Thursday 07-05-2020 02:00:56 CEST +0200,9220197,13,0
Thursday 07-05-2020 02:00:57 CEST +0200,9221515,13,0
Thursday 07-05-2020 02:00:57 CEST +0200,9224266,13,0
Thursday 07-05-2020 02:00:57 CEST +0200,9224816,13,0
Thursday 07-05-2020 02:00:57 CEST +0200,9227183,13,0
Thursday 07-05-2020 02:00:58 CEST +0200,9229512,13,0
Thursday 07-05-2020 02:00:58 CEST +0200,9230976,13,0
Thursday 07-05-2020 02:00:58 CEST +0200,9231987,13,0
Thursday 07-05-2020 02:00:58 CEST +0200,9234521,13,0
Thursday 07-05-2020 02:00:59 CEST +0200,9236241,13,0
